sweep_group,target_value,match_id,category,exact,within_2,within_5,within_25,within_50,valid,mean_diff
PBD,0.25,J03WPY,minor,0.873015873015873,0.8888888888888888,0.8888888888888888,0.9523809523809523,0.9682539682539683,1.0,5.079365079365079
PBD,0.25,J03WPY,event_start,0.9543533389687235,0.9644970414201184,0.9661876584953508,0.9721048182586645,0.9805579036348268,0.9940828402366864,2.25765306122449
PBD,0.25,J03WPY,event_end,0.9205882352941176,0.9352941176470588,0.9362745098039216,0.9470588235294117,0.9598039215686275,0.9803921568627451,2.6316316316316315
PBD,0.25,J03WPY,total,0.9387199273717658,0.9509759418974126,0.9523377212891512,0.9605083976395824,0.9709487063095779,0.9877439854743532,2.398547435315479
PBD,0.25,ALL,pass_like,0.9702602230483272,0.9780669144981413,0.9810408921933086,0.9855018587360594,0.9907063197026023,0.9985130111524163,1.0055114827838247
PBD,0.25,ALL,set_piece,0.9787234042553191,0.9787234042553191,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.9822695035460993,0.014335295005281426
PBD,0.25,ALL,incoming,0.8983050847457628,0.9084745762711864,0.911864406779661,0.9254237288135593,0.9559322033898305,0.9966101694915255,5.675383373688458
PBD,0.25,ALL,minor,0.9134199134199135,0.9177489177489178,0.9177489177489178,0.9523809523809523,0.9696969696969697,1.0,4.112554112554113
PBD,0.25,ALL,event_start,0.9611206403659234,0.9682675814751286,0.9711263579188107,0.9779874213836478,0.9857061177815895,0.9971412235563178,1.5278576573599094
PBD,0.25,ALL,event_end,0.9125168236877523,0.9222745625841184,0.926985195154778,0.9454912516823688,0.9656796769851952,0.9875504710632571,2.9513356493713165
PBD,0.25,ALL,total,0.9387944358578053,0.9471406491499227,0.9508500772797527,0.9630602782071097,0.9765069551777434,0.9927357032457497,2.158578052550232
PBD,0.5,J03WMX,pass_like,0.9713721618953604,0.9763079960513327,0.9822309970384995,0.9861796643632774,0.9911154985192497,0.9990128331688055,0.791501976284585
PBD,0.5,J03WMX,set_piece,1.0,1.0,1.0,1.0,1.0,1.0,0.0
PBD,0.5,J03WMX,incoming,0.9181818181818182,0.9272727272727272,0.9272727272727272,0.9454545454545454,0.9636363636363636,1.0,3.3636363636363638
PBD,0.5,J03WMX,minor,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.8888888888888888,0.9444444444444444,1.0,6.166666666666667
PBD,0.5,J03WMX,event_start,0.9603053435114504,0.9648854961832061,0.9694656488549618,0.9770992366412213,0.9862595419847329,0.999236641221374,1.3185637891520245
PBD,0.5,J03WMX,event_end,0.918018018018018,0.9234234234234234,0.9306306306306307,0.9522522522522523,0.9783783783783784,0.9927927927927928,2.5254545454545454
PBD,0.5,J03WMX,total,0.9409090909090909,0.9458677685950413,0.9516528925619835,0.965702479338843,0.9826446280991735,0.9962809917355372,1.8611570247933884
PBD,0.5,J03WN1,pass_like,0.9678714859437751,0.9772423025435074,0.9785809906291834,0.9866131191432396,0.9933065595716198,1.0,0.9116465863453815
PBD,0.5,J03WN1,set_piece,0.9789473684210527,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.0425531914893617
PBD,0.5,J03WN1,incoming,0.8941176470588236,0.9176470588235294,0.9176470588235294,0.9294117647058824,0.9647058823529412,0.9882352941176471,2.9285714285714284
PBD,0.5,J03WN1,minor,0.9102564102564102,0.9102564102564102,0.9230769230769231,0.9358974358974359,0.9487179487179487,1.0,5.935897435897436
PBD,0.5,J03WN1,event_start,0.9582089552238806,0.9671641791044776,0.9701492537313433,0.9781094527363184,0.9870646766169154,0.9980099502487563,1.3898305084745763
PBD,0.5,J03WN1,event_end,0.8931116389548693,0.9038004750593824,0.9097387173396675,0.9334916864608076,0.9548693586698337,0.9893111638954869,3.925211097708082
PBD,0.5,J03WN1,total,0.9285327558202491,0.9382782891174878,0.9426096372495939,0.9577693557119653,0.9723876556578235,0.9940443963183541,2.5165132647536548
PBD,0.5,J03WPY,pass_like,0.9698924731182795,0.9806451612903225,0.9817204301075269,0.9849462365591398,0.989247311827957,0.9967741935483871,1.279395900755124
PBD,0.5,J03WPY,set_piece,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.0
